,T,p,rho
8771,0.8141617189256715,0.9963790797927572,0.606940954456935
8772,0.6808403058798149,0.31975690943657353,0.6624944846740684
8773,0.4484571578194354,0.7304190928879072,0.8099381077326548
8774,0.9231862727743332,0.19518381432922438,0.047792584461258864
8775,0.43228487048628605,0.2944870432242688,0.8106547335807488
8776,0.7903217126694992,0.2707670559368791,0.07637690699306006
8777,0.5088179483675052,0.8607928966933258,0.7832460212082074
8778,0.8419953614574041,0.5556508637742251,0.5250896157089064
8779,0.5364172269165379,0.24194534867755246,0.7547898746493173
8780,0.4572101076545907,0.8384589983287097,0.8077345301023812
8781,0.3896133935558713,0.8709053770373406,0.8380409816399428
8782,0.894656125937525,0.09045505624816563,0.01501183060400278
8783,0.33714196192201173,0.21460995438963693,0.8544561042989152
8784,0.6538632594223122,0.18947590586286256,0.6797402152680606
8785,0.5267573539348834,0.40305695483882353,0.7640038909265611
8786,0.8698059087507589,0.25012240469123004,0.06799061049577958
8787,0.05561550984413788,0.8500332582774283,0.9802401787628703
8788,0.1377035117354416,0.8020459020597646,0.9457310672581797
8789,0.1685035056692149,0.47786637583262936,0.9303570423024621
8790,0.8973133604582576,0.8707275370697807,0.5167719369289805
8791,0.35268992406327726,0.9417410154608393,0.8554095771422909
8792,0.5674501594977713,0.2691551347130632,0.7390316007897584
8793,0.29149810296374423,0.5825360781016012,0.8786140880106483
8794,0.8925484482270493,0.5657940702497105,0.4601950468292942
8795,0.12161097128754705,0.34587918343173485,0.9491847793280825
8796,0.1449188190533085,0.14058073867467913,0.9379705128153624
8797,0.3226559133955441,0.05197074368256194,0.8594129658977157
8798,0.9676088732630955,0.9220161613373367,0.4474740484273704
8799,0.35823153812776076,0.2328513776142629,0.8446228638245966
8800,0.9353296665658871,0.012028846878062383,0.0018145644179421814
8801,0.6921649379508344,0.18886267409765722,0.651769222970747
8802,0.47358382202114835,0.6464940745617364,0.797046366028296
8803,0.9536095714971935,0.20221845659216742,0.04542558852994115
8804,0.11108747525658758,0.2924622924852225,0.9533357987212354
8805,0.3484335459801098,0.4143317326813837,0.8513233888833995
8806,0.8391932983390115,0.32575390770439383,0.09009654509613939
8807,0.03498722197615489,0.05775115583778878,0.984959237873059
8808,0.4363623163641006,0.7142424454312376,0.8150237321428566
8809,0.5719665419185866,0.6962926309844835,0.748137723154408
8810,0.6565446434093622,0.12124900959296736,0.678230380474703
8811,0.008971084397849438,0.09434669671668117,0.9965784661759702
8812,0.7709943575334278,0.741461319612013,0.6112651073129002
8813,0.18562385314104968,0.05693162654995276,0.919899499904669
8814,0.20191852112574982,0.40009638226926225,0.9155543218131135
8815,0.7746180610855988,0.203284644124599,0.052545941485965274
8816,0.9290920392085734,0.8486355372189655,0.4787606193010324
8817,0.4411648931521639,0.5688535151260625,0.8107133242050463
8818,0.6644669693982387,0.16335751108782004,0.6712506313012586
8819,0.7018432871780043,0.8975667935757443,0.6787285617854788
8820,0.3729255730523373,0.22672559184389385,0.8375601995235856
8821,0.4773103076284473,0.18831964018614444,0.7866922190633575
8822,0.13148879795748847,0.9672786522285931,0.949224650389183
8823,0.25659951138253734,0.8983526922854694,0.8963946647964935
8824,0.6217725426936277,0.04031491748108029,0.009115543241298193
8825,0.0433494890747268,0.5537291834317619,0.9840023487896016
8826,0.6029657574269048,0.2811820092619264,0.7195223731614148
8827,0.10204205135763089,0.7644066548367341,0.9603806444797571
8828,0.6672472582112555,0.13087292845509058,0.6703405798288551
8829,0.6070165054823632,0.6608600914324553,0.7277055809656275
8830,0.8705420059535603,0.4551024810269314,0.3433289125833233
8831,0.5907409469440285,0.4528252581574256,0.7322211698684615
8832,0.8577049560047918,0.8594548731070993,0.5555173435009546
8833,0.9930120967001684,0.3353835325158989,0.07194376010870507
8834,0.8904024481278406,0.36410091934752575,0.09243340879078268
